16,23
38,14
12,5
23,46
42,21
48,27
43,18
34,19
44,49
11,48
34,22
22,36
4,2
28,30
17,46
25,36
43,12
2,13
14,42
35,7
26,47
23,43
38,24
27,12
48,34
33,29
22,25
4,13
10,17
10,33
22,26
26,23
30,25
14,39
18,31
4,20
27,28
47,44
17,5
5,17
18,45
8,17
7,29
18,26
18,39
24,32
46,18
45,11
37,29
1,11
15,2
16,31
33,11
0,34
2,2
23,29
27,16
2,47
28,40
31,47
50,19
21,21
37,21
20,5
19,11
7,50
6,35
12,44
6,10
17,34
49,26
47,35
7,27
39,42
38,48
18,8
36,35
33,22
38,6
20,32
0,10
35,30
30,17
22,21
12,3
30,19
40,19
41,8
12,26
16,26
3,38
35,28
13,4
46,32
29,21
42,12
17,21
26,43
29,41
35,47
