16,43,40
34,49,25
18,34,13
9,34,45
25,17,32
40,14,39
16,1,15
39,10,12
27,30,3
1,24,29
20,10,33
28,24,23
19,46,50
47,27,25
0,40,34
42,17,1
16,32,35
42,28,11
48,3,46
34,26,48
26,18,18
4,35,37
5,2,6
4,30,18
50,8,31
44,50,41
29,14,22
43,13,29
32,27,48
35,17,10
18,2,47
47,44,29
31,30,14
41,14,20
0,11,28
36,23,26
17,3,14
22,42,45
36,7,49
35,23,0
41,29,28
10,33,47
16,14,27
19,36,17
49,23,17
32,33,7
18,16,7
12,12,42
1,39,12
7,39,12
22,21,50
3,5,18
40,7,21
22,40,18
29,47,21
34,15,31
12,15,29
38,8,27
21,37,6
1,47,24
44,12,37
36,41,0
19,24,24
22,47,19
40,17,34
32,35,14
25,16,4
17,40,47
25,8,4
47,19,11
17,11,1
40,21,12
10,40,47
44,7,21
10,31,12
48,24,12
25,16,26
45,25,48
14,32,8
40,9,42
34,22,26
3,33,25
11,25,27
48,45,47
23,18,14
29,9,7
5,13,35
10,31,11
25,14,2
11,31,48
10,16,10
5,33,23
23,9,41
36,29,49
49,49,29
1,38,32
31,31,24
5,37,38
42,50,0
28,16,33
